日期,天气状况,最低气温,最高气温,平均气温,风力风向(夜间/白天)
2024年01月01日,晴/晴,0℃,19℃,9.5,"['西南风', '1-3级', '/北风', '1-3级']"
2024年01月02日,多云/晴,0℃,19℃,9.5,"['北风', '1-3级', '/北风', '1-3级']"
2024年01月03日,多云/多云,0℃,17℃,8.5,"['北风', '1-3级', '/北风', '1-3级']"
2024年01月04日,多云/晴,0℃,18℃,9.0,"['西南风', '1-3级', '/北风', '1-3级']"
2024年01月05日,晴/晴,0℃,18℃,9.0,"['西南风', '1-3级', '/北风', '1-3级']"
2024年01月06日,晴/晴,-2℃,19℃,8.5,"['西南风', '1-3级', '/北风', '1-3级']"
2024年01月07日,晴/晴,0℃,19℃,9.5,"['西南风', '1-3级', '/北风', '1-3级']"
2024年01月08日,晴/晴,-1℃,18℃,8.5,"['西南风', '1-3级', '/北风', '1-3级']"
2024年01月09日,晴/晴,-2℃,19℃,8.5,"['北风', '1-3级', '/北风', '1-3级']"
2024年01月10日,晴/晴,-1℃,20℃,9.5,"['北风', '1-3级', '/北风', '1-3级']"
2024年01月11日,多云/多云,2℃,20℃,11.0,"['北风', '1-3级', '/北风', '1-3级']"
2024年01月12日,晴/晴,1℃,20℃,10.5,"['北风', '1-3级', '/北风', '1-3级']"
2024年01月13日,晴/晴,-1℃,20℃,9.5,"['北风', '1-3级', '/北风', '1-3级']"
2024年01月14日,多云/多云,0℃,21℃,10.5,"['北风', '1-3级', '/北风', '1-3级']"
2024年01月15日,多云/多云,1℃,19℃,10.0,"['西南风', '1-3级', '/北风', '1-3级']"
2024年01月16日,小雨/小雨,4℃,17℃,10.5,"['北风', '1-3级', '/北风', '1-3级']"
2024年01月17日,小雨/晴,1℃,18℃,9.5,"['西南风', '1-3级', '/北风', '1-3级']"
2024年01月18日,多云/多云,0℃,17℃,8.5,"['西南风', '1-3级', '/北风', '1-3级']"
2024年01月19日,晴/晴,0℃,17℃,8.5,"['西风', '1-3级', '/北风', '1-3级']"
2024年01月20日,多云/多云,0℃,19℃,9.5,"['北风', '1-3级', '/北风', '1-3级']"
2024年01月21日,多云/小雨,3℃,18℃,10.5,"['北风', '1-3级', '/北风', '1-3级']"
2024年01月22日,多云/雨夹雪,0℃,9℃,4.5,"['北风', '1-3级', '/北风', '1-3级']"
2024年01月23日,晴/多云,2℃,12℃,7.0,"['北风', '1-3级', '/北风', '1-3级']"
2024年01月24日,多云/多云,5℃,16℃,10.5,"['北风', '1-3级', '/北风', '1-3级']"
